Signal Legend:

Key        Signal Name

0        = values_out
1        = sbox_out
2        = counter_test
3        = test_out
4        = done_out

Data Table:

Signals-> 0        1   2   3 4 

sample

523       8168316  12h 0   0 1 
524       8168316  12h 0   0 1 
525       8168316  12h 0   0 1 
526       8168316  12h 0   0 1 
527       8168316  12h 0   0 1 
528       8168316  12h 0   0 1 
529       8168316  12h 0   0 1 
530       8168316  12h 0   0 1 
531       8168316  12h 0   0 1 
532       8168316  12h 0   0 1 
533       8168316  12h 0   0 1 
534       8168316  12h 0   0 1 
535       8168316  12h 0   0 1 
536       8168316  12h 0   0 1 
537       8168316  12h 0   0 1 
538       8168316  12h 0   0 1 
539       8168316  12h 0   0 1 
540       8168316  12h 0   0 1 
541       8168316  12h 0   0 1 
542       8168316  12h 0   0 1 
543       8168316  12h 0   0 1 
544       8168316  12h 0   0 1 
545       8168316  12h 0   0 1 
546       8168316  12h 0   0 1 
547       8168316  12h 0   0 1 
548       8168316  12h 0   0 1 
549       8168316  12h 0   0 1 
550       8168316  12h 0   0 1 
551       8168316  12h 0   0 1 
552       8168316  12h 0   0 1 
553       8168316  12h 0   0 1 
554       8168316  12h 0   0 1 
555       8168316  12h 0   0 1 
556       8168316  12h 0   0 1 
557       8168316  12h 0   0 1 
558       8168316  12h 0   0 1 
559       8168316  12h 0   0 1 
560       8168316  12h 0   0 1 
561       8168316  12h 0   0 1 
562       8168316  12h 0   0 1 
563       8168316  12h 0   0 1 
564       8168316  12h 0   0 1 
565       8168316  12h 0   0 1 
566       8168316  12h 0   0 1 
567       8168316  12h 0   0 1 
568       8168316  12h 0   0 1 
569       8168316  12h 0   0 1 
570       8168316  12h 0   0 1 
571       8168316  12h 0   0 1 
572       8168316  12h 0   0 1 
573       8168316  12h 0   0 1 
574       8168316  12h 0   0 1 
575       8168316  12h 0   0 1 
576       8168316  12h 0   0 1 
577       8168316  12h 0   0 1 
578       8168316  12h 0   0 1 
579       8168316  12h 0   0 1 
580       8168316  12h 0   0 1 
581       8168316  12h 0   0 1 
582       8168316  12h 0   0 1 
583       8168316  12h 0   0 1 
584       8168316  12h 0   0 1 
585       8168316  12h 0   0 1 
586       8168316  12h 0   0 1 
587       8168316  12h 0   0 1 
588       8168316  12h 0   0 1 
589       8168316  12h 0   0 1 
590       8168316  12h 0   0 1 
591       8168316  12h 0   0 1 
592       8168316  12h 0   0 1 
593       8168316  12h 0   0 1 
594       8168316  12h 0   0 1 
595       8168316  12h 0   0 1 
596       8168316  12h 0   0 1 
597       8168316  12h 0   0 1 
598       8168316  12h 0   0 1 
599       8168316  12h 0   0 1 
600       8168316  12h 0   0 1 
601       8168316  12h 0   0 1 
602       8168316  12h 0   0 1 
603       8168316  12h 0   0 1 
604       8168316  12h 0   0 1 
605       8168316  12h 0   0 1 
606       8168316  12h 0   0 1 
607       8168316  12h 0   0 1 
608       8168316  12h 0   0 1 
609       8168316  12h 0   0 1 
610       8168316  12h 0   0 1 
611       8168316  12h 0   0 1 
612       8168316  12h 0   0 1 
613       8168316  12h 0   0 1 
614       8168316  12h 0   0 1 
615       8168316  12h 0   0 1 
616       8168316  12h 0   0 1 
617       8168316  12h 0   0 1 
618       8168316  12h 0   0 1 
619       8168316  12h 0   0 1 
620       8168316  12h 0   0 1 
621       8168316  12h 0   0 1 
622       8168316  12h 0   0 1 
623       8168316  12h 0   0 1 
624       8168316  12h 0   0 1 
625       8168316  12h 0   0 1 
626       8168316  12h 0   0 1 
627       8168316  12h 0   0 1 
628       8168316  12h 0   0 1 
629       8168316  12h 0   0 1 
630       8168316  12h 0   0 1 
631       8168316  12h 0   0 1 
632       8168316  12h 0   0 1 
633       8168316  12h 0   0 1 
634       8168316  12h 0   0 1 
635       8168316  12h 0   0 1 
636       8168316  12h 0   0 1 
637       8168316  12h 0   0 1 
638       8168316  12h 0   0 1 
639       8168316  12h 0   0 1 
640       8168316  12h 0   0 1 
641       8168316  12h 0   0 1 
642       8168316  12h 0   0 1 
643       8168316  12h 0   0 1 
644       8168316  12h 0   0 1 
645       8168316  12h 0   0 1 
646       8168316  12h 0   0 1 
647       8168316  12h 0   0 1 
648       8168316  12h 0   0 1 
649       8168316  12h 0   0 1 
650       8168316  12h 0   0 1 
651       8168316  12h 0   0 1 
652       8168316  12h 0   0 1 
653       8168316  12h 0   0 1 
654       8168316  12h 0   0 1 
655       8168316  12h 0   0 1 
656       8168316  12h 0   0 1 
657       8168316  12h 0   0 1 
658       8168316  12h 0   0 1 
659       8168316  12h 0   0 1 
660       8168316  12h 0   0 1 
661       8168316  12h 0   0 1 
662       8168316  12h 0   0 1 
663       8168316  12h 0   0 1 
664       8168316  12h 0   0 1 
665       8168316  12h 0   0 1 
666       8168316  12h 0   0 1 
667       8168316  12h 0   0 1 
668       8168316  12h 0   0 1 
669       8168316  12h 0   0 1 
670       8168316  12h 0   0 1 
671       8168316  12h 0   0 1 
672       8168316  12h 0   0 1 
673       8168316  12h 0   0 1 
674       8168316  12h 0   0 1 
675       8168316  12h 0   0 1 
676       8168316  12h 0   0 1 
677       8168316  12h 0   0 1 
678       8168316  12h 0   0 1 
679       8168316  12h 0   0 1 
680       8168316  12h 0   0 1 
681       8168316  12h 0   0 1 
682       8168316  12h 0   0 1 
683       8168316  12h 0   0 1 
684       8168316  12h 0   0 1 
685       8168316  12h 0   0 1 
686       8168316  12h 0   0 1 
687       8168316  12h 0   0 1 
688       8168316  12h 0   0 1 
689       8168316  12h 0   0 1 
690       8168316  12h 0   0 1 
691       8168316  12h 0   0 1 
692       8168316  12h 0   0 1 
693       8168316  12h 0   0 1 
694       8168316  12h 0   0 1 
695       8168316  12h 0   0 1 
696       8168316  12h 0   0 1 
697       8168316  12h 0   0 1 
698       8168316  12h 0   0 1 
699       8168316  12h 0   0 1 
700       8168316  12h 0   0 1 
701       8168316  12h 0   0 1 
702       8168316  12h 0   0 1 
703       8168316  12h 0   0 1 
704       8168316  12h 0   0 1 
705       8168316  12h 0   0 1 
706       8168316  12h 0   0 1 
707       8168316  12h 0   0 1 
708       8168316  12h 0   0 1 
