Signal Legend:

Key        Signal Name

0        = sbox_out
1        = values_out
2        = counter_test
3        = test_out
4        = done_out

Data Table:

Signals-> 0   1        2   3 4 

sample

668       139 8184696  0   1 1 
669       139 8184696  0   1 1 
670       139 8184696  0   1 1 
671       139 8184696  0   1 1 
672       139 8184696  0   1 1 
673       139 8184696  0   1 1 
674       139 8184696  0   1 1 
675       139 8184696  0   1 1 
676       139 8184696  0   1 1 
677       139 8184696  0   1 1 
678       139 8184696  0   1 1 
679       139 8184696  0   1 1 
680       139 8184696  0   1 1 
681       139 8184696  0   1 1 
682       139 8184696  0   1 1 
683       139 8184696  0   1 1 
684       139 8184696  0   1 1 
685       139 8184696  0   1 1 
686       139 8184696  0   1 1 
687       139 8184696  0   1 1 
688       139 8184696  0   1 1 
689       139 8184696  0   1 1 
690       139 8184696  0   1 1 
691       139 8184696  0   1 1 
692       139 8184696  0   1 1 
693       139 8184696  0   1 1 
694       139 8184696  0   1 1 
695       139 8184696  0   1 1 
696       139 8184696  0   1 1 
697       139 8184696  0   1 1 
698       139 8184696  0   1 1 
699       139 8184696  0   1 1 
700       139 8184696  0   1 1 
701       139 8184696  0   1 1 
702       139 8184696  0   1 1 
703       139 8184696  0   1 1 
704       139 8184696  0   1 1 
705       139 8184696  0   1 1 
706       139 8184696  0   1 1 
707       139 8184696  0   1 1 
708       139 8184696  0   1 1 
709       139 8184696  0   1 1 
710       139 8184696  0   1 1 
711       139 8184696  0   1 1 
712       139 8184696  0   1 1 
713       139 8184696  0   1 1 
714       139 8184696  0   1 1 
715       139 8184696  0   1 1 
716       139 8184696  0   1 1 
717       139 8184696  0   1 1 
718       139 8184696  0   1 1 
719       139 8184696  0   1 1 
720       139 8184696  0   1 1 
721       139 8184696  0   1 1 
722       139 8184696  0   1 1 
723       139 8184696  0   1 1 
724       139 8184696  0   1 1 
725       139 8184696  0   1 1 
726       139 8184696  0   1 1 
727       139 8184696  0   1 1 
728       139 8184696  0   1 1 
729       139 8184696  0   1 1 
730       139 8184696  0   1 1 
731       139 8184696  0   1 1 
732       139 8184696  0   1 1 
733       139 8184696  0   1 1 
734       139 8184696  0   1 1 
735       139 8184696  0   1 1 
736       139 8184696  0   1 1 
737       139 8184696  0   1 1 
738       139 8184696  0   1 1 
739       139 8184696  0   1 1 
740       139 8184696  0   1 1 
741       139 8184696  0   1 1 
742       139 8184696  0   1 1 
743       139 8184696  0   1 1 
744       139 8184696  0   1 1 
745       139 8184696  0   1 1 
746       139 8184696  0   1 1 
747       139 8184696  0   1 1 
748       139 8184696  0   1 1 
749       139 8184696  0   1 1 
750       139 8184696  0   1 1 
751       139 8184696  0   1 1 
752       139 8184696  0   1 1 
753       139 8184696  0   1 1 
754       139 8184696  0   1 1 
755       139 8184696  0   1 1 
756       139 8184696  0   1 1 
757       139 8184696  0   1 1 
758       139 8184696  0   1 1 
759       139 8184696  0   1 1 
760       139 8184696  0   1 1 
761       139 8184696  0   1 1 
